Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,23,OKC,5,0,16,1.6,4.6,0.348,1,3.4,0.294,0.6,1.2,0.5,0.457,0.6,0.8,0.75,0.4,1.4,1.8,0.8,0,0,0,1.6,4.8,7,0.485,0.739,0.174,2.6,10,6.1,7.1,0,0,0,13.3,0.1,0,0.1,0.033,-3.2,-3.2,-6.4,-0.1
2,Steven Adams\adamsst01,C,23,OKC,5,5,31.4,3.6,5.6,0.643,0,0,,3.6,5.6,0.643,0.643,0.8,2.2,0.364,3.4,3.4,6.8,1.4,1.2,1.8,0.8,2.8,8,15.4,0.609,0,0.393,11.1,12.4,11.7,6.5,1.9,5.5,10.9,10,0.3,0.1,0.4,0.116,-2.2,4,1.7,0.1
3,LaMarcus Aldridge\aldrila01,PF,31,SAS,16,16,33.6,6.9,15,0.458,0.1,0.9,0.143,6.8,14.1,0.478,0.463,2.6,3.4,0.764,2.7,4.8,7.4,1.5,0.6,1,1.8,2.6,16.5,15.2,0.5,0.058,0.229,8.9,17,12.8,7.2,1,2.9,9.6,24.1,0.2,0.4,0.6,0.058,-2.7,1.4,-1.3,0.1
4,Lavoy Allen\allenla01,PF,27,IND,3,0,3.7,0,0,,0,0,,0,0,,,0,0,,0,0.7,0.7,0,0,0,0.3,0,0,-2.6,,,,0,21.7,10.7,0,0,0,100,4,0,0,0,-0.145,-13,1.2,-11.8,0
5,Al-Farouq Aminu\aminual01,SF,26,POR,4,0,28.3,4.3,9.3,0.459,1.8,4.3,0.412,2.5,5,0.5,0.554,1.8,2.8,0.636,1.3,5.3,6.5,1,0.8,1,2.3,2.3,12,12.4,0.574,0.459,0.297,4.4,21.2,12.2,6,1.2,3,17.7,18.7,0,0.1,0,0.016,-4.4,4.1,-0.4,0
6,Kyle Anderson\anderky01,SG,23,SAS,15,1,13,2.4,4.3,0.563,0.2,0.7,0.3,2.2,3.6,0.611,0.586,0.5,0.7,0.727,0.8,2.3,3.1,1.7,0.7,0.1,0.5,0.5,5.5,21.6,0.603,0.156,0.172,6.8,21,13.6,20.1,2.6,1,9.2,17.2,0.5,0.2,0.8,0.187,2.2,3.1,5.2,0.4
7,Ryan Anderson\anderry01,PF,28,HOU,11,9,30.5,3.3,8.4,0.391,1.5,5.5,0.283,1.7,2.9,0.594,0.484,1.3,1.5,0.875,1.4,3.8,5.2,0.6,0.4,0.2,0.8,2.2,9.4,8.5,0.52,0.652,0.174,4.9,13.2,9.2,3.1,0.6,0.5,8.3,14.1,0.1,0.3,0.4,0.058,-1.7,-0.1,-1.8,0
8,Giannis Antetokounmpo\antetgi01,SF,22,MIL,6,6,40.5,10,18.7,0.536,0.7,1.7,0.4,9.3,17,0.549,0.554,4.2,7.7,0.543,1.7,7.8,9.5,4,2.2,1.7,3.3,3.5,24.8,21.9,0.563,0.089,0.411,4.6,25.1,14.1,20.6,2.8,4,13.1,29.9,0.1,0.6,0.7,0.138,2.1,3.6,5.7,0.5
9,Joel Anthony\anthojo01,C,34,SAS,3,0,5,1,1.3,0.75,0,0,,1,1.3,0.75,0.75,0,0.3,0,0.7,0.7,1.3,0,0,0.7,0.3,0.7,2,19.6,0.676,0,0.25,14.8,16.1,15.4,0,0,13.2,18.4,16.1,0,0,0,0.119,-3.5,2.9,-0.6,0
10,Trevor Ariza\arizatr01,SF,31,HOU,11,11,37.5,3.7,8.8,0.423,2.1,5.5,0.377,1.6,3.3,0.5,0.541,1.2,1.3,0.929,0.7,4.4,5.1,2.1,1.3,0.2,0.8,2.3,10.7,10.5,0.572,0.629,0.144,2.1,12.2,7.3,8.3,1.7,0.4,8,11.9,0.4,0.4,0.9,0.101,0.1,2,2.1,0.4
