Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Jordan Adams\adamsjo01,SG,20,MEM,4,0,2.5,0.5,0.8,0.667,0.3,0.3,1,0.3,0.5,0.5,0.833,0.5,1,0.5,0,0.3,0.3,0,0.3,0,0,0,1.8,31.4,0.735,0.333,1.333,0,11.3,5.5,0,5.2,0,0,21.7,0.1,0,0.1,0.327,6.1,-0.7,5.4,0
2,Arron Afflalo\afflaar01,SG,29,POR,3,3,20,0.7,4,0.167,0.3,1.3,0.25,0.3,2.7,0.125,0.208,0,0.3,0,0,2.3,2.3,0.7,0,0,1,2,1.7,-5,0.201,0.333,0.083,0,12.8,6.3,5,0,0,19.4,11.8,-0.2,0,-0.2,-0.186,-10.7,1.4,-9.3,-0.1
3,Alexis Ajinca\ajincal01,C,26,NOP,3,0,3.3,1.3,1.3,1,0,0,,1.3,1.3,1,1,0,0,,0,0.3,0.3,0.3,0.3,0,0,0.7,2.7,42,1,0,0,0,10.9,5.5,26.9,5.2,0,0,18.3,0.1,0,0.1,0.366,12.6,3.5,16.2,0
4,LaMarcus Aldridge\aldrila01,PF,29,POR,5,5,41.6,7.4,22.4,0.33,0.6,2.2,0.273,6.8,20.2,0.337,0.344,6.4,7.2,0.889,4.2,7,11.2,1.8,0.4,2.4,1.6,3.2,21.8,16.7,0.426,0.098,0.321,10.8,18.4,14.6,8.4,0.5,3.8,5.9,29.9,0,0.2,0.1,0.032,-4.4,1.5,-2.9,0
5,Tony Allen\allento01,SG,33,MEM,10,9,27.9,2.8,5.7,0.491,0.1,0.7,0.143,2.7,5,0.54,0.5,0.9,1.2,0.75,1.4,3.8,5.2,1.5,2.4,1.1,1.3,2.7,6.6,14.2,0.53,0.123,0.211,5.4,15.3,10.3,8.3,4.5,3.6,17.3,12.3,0.1,0.6,0.6,0.111,-1.1,7.6,6.5,0.6
6,Al-Farouq Aminu\aminual01,SF,24,DAL,5,2,30,3.4,6.2,0.548,1.4,2.2,0.636,2,4,0.5,0.661,3,3.8,0.789,2.8,4.4,7.2,1.2,2,1.6,1.2,3,11.2,20.4,0.711,0.355,0.613,9.3,15.6,12.3,5.3,3.1,4.3,13.2,12.4,0.5,0.1,0.6,0.199,2.4,5.8,8.3,0.4
7,Alan Anderson\anderal01,SG,32,BRK,6,0,23.7,4.2,6.8,0.61,1.7,2.7,0.625,2.5,4.2,0.6,0.732,1,1.5,0.667,0.3,3.2,3.5,1.2,0.7,0.2,1.3,1.5,11,17.7,0.734,0.39,0.22,1.5,14.5,8,8.7,1.4,0.6,15.1,17.1,0.3,0.1,0.4,0.145,1.8,0.9,2.7,0.2
8,Ryan Anderson\anderry01,PF,26,NOP,4,0,23.8,4,9,0.444,1.3,3,0.417,2.8,6,0.458,0.514,1.5,1.5,1,1.8,2.5,4.3,2.3,0,0.5,1,3,10.8,16.2,0.556,0.333,0.167,8.3,11.5,9.9,15.7,0,1.8,9.4,20.5,0.2,-0.1,0.2,0.079,0.3,1.6,1.9,0.1
9,Giannis Antetokounmpo\antetgi01,SG,20,MIL,6,6,33.5,4.3,11.8,0.366,0,0.2,0,4.3,11.7,0.371,0.366,2.8,3.8,0.739,2,5,7,2.7,0.5,1.5,1.8,3,11.5,10.9,0.425,0.014,0.324,5.8,17.3,11.1,14.3,0.8,4,11.9,20.6,-0.2,0.2,0,-0.003,-5,2.1,-2.9,0
10,Pero Antic\anticpe01,C,32,ATL,15,1,13.3,1.1,3.3,0.32,0.7,2.1,0.344,0.3,1.2,0.278,0.43,1.3,1.7,0.8,0.6,2.3,2.9,0.3,0.1,0.2,0.3,2.5,4.2,8.5,0.516,0.64,0.5,4.8,18.3,11.6,3,0.5,1.2,7.6,15.1,0.2,0.2,0.4,0.092,-2.3,-2.1,-4.5,-0.1
11,Trevor Ariza\arizatr01,SF,29,HOU,17,17,38.5,4.4,10.4,0.426,2.1,5.6,0.375,2.3,4.7,0.488,0.528,2.2,2.5,0.905,1.1,5.4,6.4,2.6,1.8,0.1,1.4,3,13.2,12.9,0.576,0.545,0.239,2.9,14.2,8.6,10.1,2.2,0.2,10.6,13.9,1,0.4,1.3,0.098,0.7,2.8,3.5,0.9
12,Omer Asik\asikom01,C,28,NOP,4,4,19.8,0.5,2.5,0.2,0,0,,0.5,2.5,0.2,0.2,1,1.8,0.571,3,4.3,7.3,1.5,1.3,0,1.3,2.5,2,9.4,0.306,0,0.7,17.2,23.4,20.4,10.2,3.3,0,27.7,10.5,0,0,0,-0.002,-5.3,6.8,1.5,0.1
13,Jeff Ayres\pendeje02,PF,27,SAS,3,0,4,0,0.3,0,0,0,,0,0.3,0,0,0,0,,0,1,1,0.7,0,0,0,0,0,5.7,0,0,0,0,27.6,13.3,21.2,0,0,0,3.7,0,0,0,0.014,-7.7,3.4,-4.2,0
14,Leandro Barbosa\barbole01,SG,32,GSW,21,0,10.9,1.9,4.2,0.443,0.4,1.1,0.348,1.5,3.1,0.477,0.489,0.9,1,0.818,0.4,0.9,1.3,0.9,0.3,0,0.6,1.1,5,13.3,0.532,0.261,0.25,3.9,8.9,6.4,12.8,1.3,0.3,10.9,21.5,0.3,0.3,0.5,0.113,-0.3,-1.8,-2.1,0
15,J.J. Barea\bareajo01,PG,30,DAL,5,2,30.8,5,11.4,0.439,0.8,3.2,0.25,4.2,8.2,0.512,0.474,1,1.2,0.833,1,3.8,4.8,7.4,0.8,0,2.8,3.4,11.8,13.7,0.495,0.281,0.105,3.2,13.2,8,34.1,1.2,0,19,19.6,0.1,0,0.1,0.04,-1.1,0.8,-0.4,0.1
16,Harrison Barnes\barneha02,SF,22,GSW,21,21,32.4,4.2,9.5,0.44,1,3,0.355,3.1,6.6,0.478,0.495,1.2,1.6,0.735,2.1,3.1,5.2,1.5,0.8,0.5,1,2.1,10.6,12.2,0.519,0.31,0.17,7.3,10.3,8.8,7.2,1.3,1.3,9.3,15.6,0.8,0.8,1.6,0.115,0.8,0.8,1.6,0.6
17,Matt Barnes\barnema02,SF,34,LAC,14,14,29.2,2.7,7.1,0.38,1.1,4.3,0.267,1.6,2.9,0.55,0.46,1.1,1.4,0.75,1.1,3.9,5.1,1.6,1.4,0.7,1.1,3.9,7.6,9.7,0.492,0.6,0.2,4.2,13.9,9.1,7.4,2.4,2.1,12.8,13.2,0.1,0.4,0.5,0.055,-1.3,3.3,2.1,0.4
18,Brandon Bass\bassbr01,PF,29,BOS,4,4,21.5,1.8,5,0.35,0,0,,1.8,5,0.35,0.35,1.5,2.5,0.6,0.8,1.3,2,2.5,0.3,0.8,0.8,1,5,9,0.41,0,0.5,3.7,6.5,5.1,18.1,0.6,3.4,10.9,14.2,0,0,0,-0.022,-5.1,2.7,-2.3,0
19,Nicolas Batum\batumni01,SF,26,POR,5,5,41.8,4.8,14,0.343,2.6,7.8,0.333,2.2,6.2,0.355,0.436,2,2.6,0.769,1.2,7.4,8.6,5.2,0.2,0.2,2.4,2.2,14.2,11.1,0.469,0.557,0.186,3.1,19.4,11.1,21.4,0.2,0.3,13.7,19.2,0,0.1,0.1,0.021,-1,1.7,0.8,0.1
20,Jerryd Bayless\bayleje01,PG,26,MIL,6,0,20,2,5.8,0.343,0.3,1.2,0.286,1.7,4.7,0.357,0.371,2.2,2.8,0.765,0.7,1.8,2.5,3,0.3,0.3,0.7,2,6.5,12.2,0.459,0.2,0.486,3.3,10.6,6.6,25.5,0.9,1.5,8.6,17.4,0.1,0.1,0.2,0.06,-2,-0.8,-2.8,0
21,Aron Baynes\baynear01,C,28,SAS,4,0,10,0.8,2.5,0.3,0,0,,0.8,2.5,0.3,0.3,0.8,0.8,1,0.8,1.8,2.5,0.3,0,0,0.8,2.3,2.3,1.3,0.398,0,0.3,7.8,19.3,13.3,3.5,0,0,20.9,16.1,-0.1,0,0,-0.056,-8.6,-0.1,-8.6,-0.1
22,Kent Bazemore\bazemke01,SG,25,ATL,16,2,18.9,1.9,4.4,0.423,0.4,1.8,0.214,1.5,2.7,0.558,0.465,1.3,1.9,0.677,0.2,3.1,3.3,0.8,0.7,0.6,0.7,1.6,5.4,10.5,0.514,0.394,0.437,1.1,17.7,9.4,6.5,1.9,2.4,11.5,14.4,0,0.4,0.5,0.072,-3.4,1.3,-2.1,0
23,Bradley Beal\bealbr01,SG,21,WAS,10,10,41.8,8.1,20,0.405,2.3,6.3,0.365,5.8,13.7,0.423,0.463,4.9,5.9,0.831,1.4,4.1,5.5,4.6,1.6,0.7,2.6,1.9,23.4,17.9,0.518,0.315,0.295,3.8,10.3,7.1,19.1,1.9,1.3,10.3,26.7,0.7,0.6,1.2,0.14,2.9,0.7,3.5,0.6
24,Marco Belinelli\belinma01,SG,28,SAS,7,0,16.6,2.9,5.6,0.513,2,4.3,0.467,0.9,1.3,0.667,0.692,1.6,1.9,0.846,0.3,1.6,1.9,1.4,0.3,0,0.7,1.4,9.3,20.7,0.727,0.769,0.333,1.8,10.5,6,14.1,0.9,0,10.1,19.2,0.5,0,0.5,0.215,6.3,-1,5.4,0.2
25,Steve Blake\blakest01,PG,34,POR,5,0,8.6,0.4,2.2,0.182,0.2,1.6,0.125,0.2,0.6,0.333,0.227,0.4,0.4,1,0,0.2,0.2,1.6,0,0.2,0.4,0.8,1.4,2.9,0.295,0.727,0.182,0,2.5,1.3,28.7,0,1.5,14.4,14.8,-0.1,0,-0.1,-0.092,-6.3,-3.1,-9.4,-0.1
26,Bojan Bogdanovic\bogdabo02,SF,25,BRK,6,5,34.3,3.8,9.8,0.39,1.8,5.5,0.333,2,4.3,0.462,0.483,0.8,1.2,0.714,0.5,3.3,3.8,1.7,0.7,0.3,1.3,2,10.3,8.3,0.499,0.559,0.119,1.6,10.5,6,7.7,1,0.9,11.4,15.6,0,0.1,0.1,0.015,-2.2,1,-1.2,0
27,Andrew Bogut\bogutan01,C,30,GSW,19,18,23.2,2.2,3.9,0.56,0,0.1,0,2.2,3.9,0.568,0.56,0.3,0.7,0.385,2.2,5.9,8.1,1.9,0.6,1.8,1.4,3.6,4.7,14,0.551,0.013,0.173,10.3,27.4,19,11.9,1.3,6.2,24.4,10.9,0.4,1,1.4,0.153,-1.6,6.1,4.6,0.7
28,Matt Bonner\bonnema01,PF,34,SAS,7,0,5.1,0.3,1.4,0.2,0.3,1.3,0.222,0,0.1,0,0.3,0,0,,0,0.9,0.9,0.1,0,0.1,0.1,1.1,0.9,-2.2,0.3,0.9,0,0,18.4,8.9,3.8,0,2.2,9.1,13.7,-0.1,0,-0.1,-0.089,-7.2,0.6,-6.6,0
29,Avery Bradley\bradlav01,SG,24,BOS,4,4,33.3,4.8,12.5,0.38,1.3,4.8,0.263,3.5,7.8,0.452,0.43,1.5,1.8,0.857,0.8,3,3.8,0.8,0.8,0,0.8,3.3,12.3,8.2,0.462,0.38,0.14,2.4,10.1,6.2,3.9,1.2,0,5.3,18.8,0,0,0,-0.017,-3.2,0.2,-3,0
30,Elton Brand\brandel01,C,35,ATL,3,0,1.3,0,0.3,0,0,0,,0,0.3,0,0,0.3,0.7,0.5,0,0.3,0.3,0,0,0,0,1,0.3,-12.7,0.266,0,2,0,26.8,13.4,0,0,0,0,21.4,0,0,0,-0.139,-15.6,-7.2,-22.8,0
